City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1611,Saint-Pierre,RE,73.4,broken clouds,-21.34,55.48,Lindsey Hôtel
1614,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
1615,Praia,CV,86.0,clear sky,14.92,-23.51,LT Aparthotel
1616,Palakkad,IN,77.0,mist,10.78,76.65,Hotel Gazala family restaurant Palakkad
1617,Xai-Xai,MZ,87.62,clear sky,-25.05,33.64,Platinum Hotel
1629,Sao Filipe,CV,79.52,light rain,14.9,-24.5,Tortuga B&B
1630,Louis Trichardt,ZA,82.09,clear sky,-23.04,29.9,139 on Munnik Guest House
1631,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
1632,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
1635,Phetchaburi,TH,77.0,broken clouds,12.97,99.58,บ้านภูแสนดาว
1636,Padang,ID,77.23,moderate rain,-0.95,100.35,Mercure Padang
1640,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
1643,Buchanan,LR,82.4,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
1644,San Carlos De Bariloche,AR,75.2,scattered clouds,-41.15,-71.31,Hotel Patagonia
1649,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
1652,Point Pedro,LK,82.26,light rain,9.82,80.23,Gtr homes
1659,Thiruvarur,IN,77.59,clear sky,10.77,79.65,Mydeen Govindarajan Residency
1661,Broome,US,70.0,clear sky,42.25,-75.83,Chenango Valley State Park
1663,Namatanai,PG,79.32,broken clouds,-3.67,152.43,Namatanai Hotel
1664,Bida,NG,81.91,few clouds,9.08,6.02,Royal Suite
1665,Annigeri,IN,72.54,scattered clouds,15.43,75.43,APMC Annigeri
1668,Japura,ID,74.05,light rain,-0.32,102.35,Rumah mbah Jamah
1672,Moscow,RU,71.08,clear sky,55.75,37.62,"The Ritz-Carlton, Moscow"
1673,Nata,PA,84.2,few clouds,8.33,-80.52,Cabañas Estancia Bayamon
1676,Sal Rei,CV,82.4,clear sky,16.18,-22.92,Marine Club Beach Resort
1679,Seminole,US,84.2,scattered clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
1681,Samarai,PG,80.89,light rain,-10.62,150.67,Nuli Sapi
1685,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
1686,Katherine,AU,78.8,clear sky,-14.47,132.27,Pine Tree Motel
1689,Grand Gaube,MU,72.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
1690,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
1693,Maragogi,BR,80.22,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
1695,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
1696,Marau,BR,86.34,clear sky,-28.45,-52.2,Hotel Pousada Tordilho Negro
1698,Fare,PF,79.74,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
1699,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
1700,Bentiu,SS,78.84,clear sky,9.23,29.83,Mandela hôtel
1701,Kokoda,PG,73.13,light rain,-8.88,147.74,Daito Guest House
1702,Viedma,AR,75.99,clear sky,-40.81,-63.0,Hotel Cristal
1705,Chinsali,ZM,75.97,clear sky,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
1715,Kisante,PH,75.2,scattered clouds,6.92,125.16,Le Reve Resort
1719,Bengkulu,ID,76.66,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
1723,Boffa,GN,80.82,light rain,10.17,-14.03,Hôtel Niara Belly
1725,Ambilobe,MG,75.92,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
1729,Namwala,ZM,86.92,overcast clouds,-15.75,26.44,Corner Point Lodge
1731,Nago,JP,75.2,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
1732,San Luis,AR,85.53,broken clouds,-33.3,-66.34,Huarpes Hotel
1734,Pangai,TO,75.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
1735,San Policarpo,PH,75.79,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
1738,Srandakan,ID,77.38,scattered clouds,-7.94,110.25,Puri Brata
1739,Praya,CV,86.0,clear sky,14.92,-23.51,LT Aparthotel
1743,Buala,SB,79.65,clear sky,-8.14,159.59,Maringe Lagoon Lodge
1745,Payo,ID,72.75,overcast clouds,-3.75,103.64,Mess keban agung
1748,Sola,VU,82.4,overcast clouds,-13.88,167.55,Ulkel Guest House
1750,Sur,OM,75.63,clear sky,22.57,59.53,Sur Plaza Hotel
1754,Rincon,US,80.6,broken clouds,32.3,-81.24,Bent tree subdivision
1759,Belford Roxo,BR,77.0,broken clouds,-22.76,-43.4,Red Roof Inn Dutra Airport
1761,Touros,BR,87.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
1764,Weymouth,US,75.2,overcast clouds,42.22,-70.94,"Boston Motel Weymouth/Boston, MA"
1765,Port Blair,IN,81.21,clear sky,11.67,92.75,Fortune Resort Bay Island
1767,Doha,QA,84.0,clear sky,25.29,51.53,Doha Marriott Hotel
1768,Cleburne,US,75.99,clear sky,32.35,-97.39,Holiday Inn Express & Suites Cleburne
1769,San Pedro,PH,75.2,very heavy rain,14.35,121.02,OYO 412 Viewfort Venue
1770,Bandarbeyla,SO,76.75,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
1772,Neuquen,AR,84.2,clear sky,-38.95,-68.06,Hotel del Comahue
1775,Savelugu,GH,86.58,broken clouds,9.62,-0.83,Yoo Naa's Palace
1781,Bungu,TZ,73.44,broken clouds,-7.63,39.06,Jaja Lodge
1782,Nisia Floresta,BR,87.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
1785,Labuhan,ID,78.91,clear sky,-6.88,112.21,bador sepret
1786,Bella Union,UY,82.9,broken clouds,-30.28,-57.6,Hotel Oriente
1789,Lazaro Cardenas,MX,84.87,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
1790,Oswego,US,73.4,clear sky,43.45,-76.15,S & E Mobile Home Park
1795,Ouesso,CG,72.93,overcast clouds,1.61,16.05,Hôtel ABENI
